"STATION","species1","species2","overlap"
"VINS","CACH","AMGO",0.0203029188086406
"VINS","TUTI","CARW",0.0483378150169738
"VINS","TUTI","BGGN",0.394856202274555
"VINS","TUTI","GRCA",0.405529450564928
"VINS","TUTI","BRTH",0.134041835454558
"VINS","TUTI","BAWW",0.013164159159845
"VINS","TUTI","PROW",0.000274939534262312
"VINS","TUTI","KEWA",0.262598640219889
"VINS","TUTI","MOWA",0.284488922076136
"VINS","TUTI","COYE",0.0755603832596851
"VINS","TUTI","YBCH",0.142537396875795
"VINS","TUTI","FISP",0.00417280418692807
"VINS","TUTI","NOCA",0.7496349689421
"VINS","TUTI","INBU",0.395308027934258
"VINS","TUTI","PABU",0.355536520347659
"VINS","TUTI","DICK",0.00691494074417622
"VINS","TUTI","RWBL",0.195392096005289
"VINS","TUTI","BHCO",0.451620033007839
"VINS","TUTI","OROR",0.164001544326694
"VINS","TUTI","AMGO",0.259211391977381
"VINS","CARW","BGGN",0.0137675811870573
"VINS","CARW","GRCA",0.0154595292749521
"VINS","CARW","BRTH",0.292611104840485
"VINS","CARW","BAWW",2.96832909657698e-12
"VINS","CARW","PROW",4.41790804065704e-08
"VINS","CARW","KEWA",0.207799418704228
"VINS","CARW","MOWA",0.203133453117065
"VINS","CARW","COYE",0.586723611060329
"VINS","CARW","YBCH",0.423144729590409
"VINS","CARW","FISP",0.000311367546364106
"VINS","CARW","NOCA",0.0269788841073271
"VINS","CARW","INBU",0.159950401023881
"VINS","CARW","PABU",0.205801640583548
"VINS","CARW","DICK",4.99934674812527e-07
"VINS","CARW","RWBL",0.248242497164078
"VINS","CARW","BHCO",0.0230606022060035
"VINS","CARW","OROR",0.366062578841551
"VINS","CARW","AMGO",0.0136238346323794
"VINS","BGGN","GRCA",0.857753109227931
"VINS","BGGN","BRTH",0.0241748328352804
"VINS","BGGN","BAWW",0.17307490043042
"VINS","BGGN","PROW",0.0017875970796764
"VINS","BGGN","KEWA",0.0450022858964421
"VINS","BGGN","MOWA",0.0476600768535132
"VINS","BGGN","COYE",0.00131113886439736
"VINS","BGGN","YBCH",0.00252774552673377
"VINS","BGGN","FISP",0.0156198430726815
"VINS","BGGN","NOCA",0.558890934300165
"VINS","BGGN","INBU",0.0999987882777699
"VINS","BGGN","PABU",0.03784195272399
"VINS","BGGN","DICK",0.041728633458832
"VINS","BGGN","RWBL",0.00787877198529925
"VINS","BGGN","BHCO",0.729435426419815
"VINS","BGGN","OROR",0.0333778151270258
"VINS","BGGN","AMGO",0.672823558429167
"VINS","GRCA","BRTH",0.0246904733154871
"VINS","GRCA","BAWW",0.176265325608218
"VINS","GRCA","PROW",0.00578361181995102
"VINS","GRCA","KEWA",0.0472292701256748
"VINS","GRCA","MOWA",0.049267247684476
"VINS","GRCA","COYE",0.00164711649253617
"VINS","GRCA","YBCH",0.00326520494568499
"VINS","GRCA","FISP",0.0448195282869107
"VINS","GRCA","NOCA",0.616896095595648
"VINS","GRCA","INBU",0.104021778054348
"VINS","GRCA","PABU",0.0416563964328869
"VINS","GRCA","DICK",0.0772545090908039
"VINS","GRCA","RWBL",0.00991004671195526
"VINS","GRCA","BHCO",0.743580300586951
"VINS","GRCA","OROR",0.0341432137030096
"VINS","GRCA","AMGO",0.72802928389477
"VINS","BRTH","BAWW",0.0113205395069188
"VINS","BRTH","PROW",0.000142327374890162
"VINS","BRTH","KEWA",0.699431638961605
"VINS","BRTH","MOWA",0.648694554916229
"VINS","BRTH","COYE",0.611767338608439
"VINS","BRTH","YBCH",0.769005892434663
"VINS","BRTH","FISP",0.000772960865677895
"VINS","BRTH","NOCA",0.0598178746956569
"VINS","BRTH","INBU",0.41473012442764
"VINS","BRTH","PABU",0.685894612237392
"VINS","BRTH","DICK",0.00517941629855098
"VINS","BRTH","RWBL",0.819922563673706
"VINS","BRTH","BHCO",0.0392286116400402
"VINS","BRTH","OROR",0.857050588917799
"VINS","BRTH","AMGO",0.0283368469586627
"VINS","BAWW","PROW",0.0454269313663648
"VINS","BAWW","KEWA",0.00537394755913709
"VINS","BAWW","MOWA",0.000410002747873086
"VINS","BAWW","COYE",7.22313468157376e-11
"VINS","BAWW","YBCH",5.57717564401719e-12
"VINS","BAWW","FISP",0.172289990574449
"VINS","BAWW","NOCA",0.0261521187081664
"VINS","BAWW","INBU",0.00800593956058929
"VINS","BAWW","PABU",2.11906179776449e-08
"VINS","BAWW","DICK",0.300368639060319
"VINS","BAWW","RWBL",1.14649120098047e-16
"VINS","BAWW","BHCO",0.35417655718037
"VINS","BAWW","OROR",1.74918168739043e-05
"VINS","BAWW","AMGO",0.122069758112494
"VINS","PROW","KEWA",0.00488851486433697
"VINS","PROW","MOWA",1.57950413470086e-05
"VINS","PROW","COYE",3.20678504681722e-08
"VINS","PROW","YBCH",2.09032862684909e-08
"VINS","PROW","FISP",0.151936060445436
"VINS","PROW","NOCA",0.000419125933596466
"VINS","PROW","INBU",7.34828718645379e-05
"VINS","PROW","PABU",4.45045576092003e-07
"VINS","PROW","DICK",0.422961915337314
"VINS","PROW","RWBL",3.53131383572627e-09
"VINS","PROW","BHCO",0.0156807215906626
"VINS","PROW","OROR",5.42775932228298e-06
"VINS","PROW","AMGO",0.0124302890886035
"VINS","KEWA","MOWA",0.899571803817537
"VINS","KEWA","COYE",0.433772542751602
"VINS","KEWA","YBCH",0.618491677279664
"VINS","KEWA","FISP",0.00787046755833498
"VINS","KEWA","NOCA",0.132934420712914
"VINS","KEWA","INBU",0.607633932682895
"VINS","KEWA","PABU",0.842365131836443
"VINS","KEWA","DICK",0.00554135213340803
"VINS","KEWA","RWBL",0.761162557929449
"VINS","KEWA","BHCO",0.0845186148223131
"VINS","KEWA","OROR",0.655994676621877
"VINS","KEWA","AMGO",0.0465819197066683
"VINS","MOWA","COYE",0.42631779784301
"VINS","MOWA","YBCH",0.60490525783378
"VINS","MOWA","FISP",0.0017574515156699
"VINS","MOWA","NOCA",0.141644663945402
"VINS","MOWA","INBU",0.680916985562486
"VINS","MOWA","PABU",0.844266147225586
"VINS","MOWA","DICK",0.000589800471042528
"VINS","MOWA","RWBL",0.706214037740303
"VINS","MOWA","BHCO",0.0821172615338229
"VINS","MOWA","OROR",0.62787932429977
"VINS","MOWA","AMGO",0.048309809162907
"VINS","COYE","YBCH",0.759744267291701
"VINS","COYE","FISP",1.12091540904982e-05
"VINS","COYE","NOCA",0.0245394831860476
"VINS","COYE","INBU",0.276575294336303
"VINS","COYE","PABU",0.432293309434439
"VINS","COYE","DICK",1.90966320348441e-07
"VINS","COYE","RWBL",0.499335964100208
"VINS","COYE","BHCO",0.0117617114194804
"VINS","COYE","OROR",0.697512199110455
"VINS","COYE","AMGO",0.00555923806857297
"VINS","YBCH","FISP",1.37218542106638e-05
"VINS","YBCH","NOCA",0.0485310134061476
"VINS","YBCH","INBU",0.42148006665522
"VINS","YBCH","PABU",0.614073771921425
"VINS","YBCH","DICK",1.3485072833511e-07
"VINS","YBCH","RWBL",0.652263476295094
"VINS","YBCH","BHCO",0.0204978737966358
"VINS","YBCH","OROR",0.872729486734122
"VINS","YBCH","AMGO",0.0066010318331625
"VINS","FISP","NOCA",0.00457589988511133
"VINS","FISP","INBU",0.00183550573655489
"VINS","FISP","PABU",0.00236406254202361
"VINS","FISP","DICK",0.572181863470435
"VINS","FISP","RWBL",9.38513237300685e-06
